Response_size,Requests Time (no cnxn reuse),pyCurl Time (no cnxn reuse),Requests Time (cnxn reuse),pyCurl Time (cnxn reuse)
4,66.27971196174622,51.86294198036194,9.388513088226318,5.3404669761657715
512,66.83333802223206,51.963501930236816,9.77584195137024,5.3805320262908936
1024,66.82163190841675,52.33514213562012,10.002478122711182,5.666233062744141
2048,67.79040288925171,52.45505714416504,10.132296800613403,5.43412184715271
4096,67.63865399360657,52.27203893661499,9.88404893875122,5.731474876403809
8192,68.73349094390869,52.70930290222168,10.0503089427948,5.954875946044922
16384,70.89177799224854,52.7499680519104,10.954480171203613,6.203839063644409
32768,74.97213292121887,53.93416404724121,11.353186130523682,7.662111043930054
65536,83.48597002029419,54.89160418510437,12.747231006622314,8.380215167999268
131072,105.01751708984375,56.5848228931427,18.83225989341736,21.22845697402954
